"week","product_analytic_sub_category","gmv","product_mrp","list_price","units","Promotion","sla","procurement_sla","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
10,"GamingAccessory",3863553,1571.08079142622,770.488870568838,5108,0.377227768934015,5.06595218466612,2.59356966199505,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"Speaker",15229537.5052583,2047.38656960333,1112.72827217353,13690,0.400849540316931,5.29133858267717,2.32952013073837,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"GamingConsole",2710730,8116.12437810945,6743.10945273632,402,0.31630468830737,5.91542288557214,2.92537313432836,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"TVVideoSmall",4170296,2243.92323651452,1357.28284923928,3076,0.465508818571488,4.79598893499308,2.64384508990318,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
11,"AmplifierReceiver",615974,3285.4213836478,1937.0251572327,318,0.411611463591602,5.84276729559748,2.91194968553459,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"AudioAccessory",536992,1732.72566371681,1178.56637168142,456,0.312159638661022,8.38053097345133,3.42035398230089,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"AudioMP3Player",6376109,3536.45185375901,1618.49253347065,3958,0.443592785386985,6.00720906282183,2.57080329557158,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"Camera",29007092,18576.9131313131,14582.3606060606,2004,0.219188796505104,4.85050505050505,2.72828282828283,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"CameraAccessory",10542782,2543.47115517004,1430.37808068291,7513,0.429432588784734,6.55500481894534,2.86644637202258,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"GamingAccessory",4985970,2089.80402965216,932.083634290059,5445,0.357630112060834,5.55255654818476,2.61889374643604,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"CameraStorage",829709,1917.2223701731,967.237017310253,799,0.450574141597866,5.6271637816245,2.45805592543276,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"GamingConsole",3715652,7530.57432432432,6213.11148648649,606,0.305067678237296,5.98310810810811,2.94256756756757,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"Game",4710444,2526.71996753247,1893.87662337662,2480,0.186373806640405,4.56899350649351,40.2175324675325,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"Speaker",20801393,2560.86019021739,1396.40808423913,14854,0.399138948467727,5.60421195652174,2.45720108695652,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"TVVideoSmall",7248855,2221.18579136691,1270.48615107914,5758,0.499895480669112,4.8544964028777,2.69064748201439,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"HomeAudio",8774262,3511.16413093592,2012.65006915629,4366,0.349063612039272,5.57123098201936,2.8118948824343,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
11,"HomeTheatre",207540,17561.4285714286,14824.2857142857,14,0.13702509858979,5.85714285714286,4.57142857142857,0,0,1.019798875,0.576871748,26.71556061,0.228635131,4.299467411,1.22464708,2.292430699,0,0,46.9
12,"GamingConsole",3784580,6925.37160120846,5668.22960725076,672,0.31180094555549,6.47129909365559,2.72205438066465,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"Camera",34409410,21061.1639344262,16501.2594021215,2098,0.224054496602201,5.61909353905497,2.64609450337512,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"CameraStorage",573606,2057.00408163265,1064.9387755102,530,0.423594040815681,4.95102040816327,2.34285714285714,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"GamingAccessory",5320588.00235581,2335.86116737249,959.328668753452,5679,0.38398425843144,5.55974958571166,2.69287424047137,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"AudioMP3Player",5409645,3122.28017358286,1460.55953349607,3739,0.453985848644221,6.435584486032,2.66639544344996,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"Speaker",17789788,2478.95079462103,1338.89639364303,13262,0.392092093921464,5.84459046454768,2.44147310513447,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"Game",4534304,2470.04300234558,1762.49335418296,2612,0.242411228345749,5.03909304143862,79.3854573885848,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"CameraAccessory",9689462,2565.93566726511,1422.8315380012,6924,0.447858662789351,6.42878515858767,2.85996409335727,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"AudioAccessory",540346,2039.69346733668,1350.6432160804,412,0.315280967738061,8.74874371859296,2.9748743718593,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"HomeTheatre",305218,13600.75,12717.4166666667,24,0.0948040206536649,6,4.25,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"TVVideoSmall",5828387,2398.38438363043,1428.34722570926,4161,0.450722580832063,5.12628671855385,2.53025357770525,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"AmplifierReceiver",658022,4034.7874015748,2542.6062992126,264,0.42904564149846,5.81102362204724,3.13385826771654,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
12,"HomeAudio",7564730,3322.75789473684,1968.86368421053,3858,0.351195369181902,6.09736842105263,2.69210526315789,0,1,1.084573644,0.581248648,37.64159793,0.343928399,4.576920065,1.253072923,2.54787875,0,0,46.9
13,"AmplifierReceiver",542350,3642.67669172932,2030.30827067669,268,0.457196293910226,5.89473684210526,2.94736842105263,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"AudioAccessory",542220,1747.20888888889,1198.85333333333,458,0.293009818003498,9.07111111111111,2.95111111111111,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"AudioMP3Player",5237194,3772.37701277068,1445.81288173237,3638,0.466000245695091,6.52359800111049,2.88672959466963,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"Camera",31290183,19310.6481230213,14083.4938941655,2239,0.251953989633747,5.35187697874265,2.73496155585708,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"CameraAccessory",9587614,2625.68986384266,1423.24054462935,6840,0.465681840289944,6.39576399394856,3.04145234493192,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"CameraStorage",576956,2244.13333333333,1155.88888888889,494,0.441420624920603,5.42666666666667,2.59111111111111,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"GamingConsole",4968918,9460.59283387622,7757.93811074919,630,0.310282745531588,6.56677524429967,2.91205211726384,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"Game",5960100,2733.84175968483,1951.92646093237,3066,0.230073059056649,5.40446487196323,87.1096520026264,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"HomeAudio",8719693,3185.00793126239,1915.30050671954,4563,0.342483066226418,6.3291473892928,2.63031504736726,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
13,"Speaker",19186415,1916.21625800751,1046.22647448641,18346,0.405618839028161,6.00806273470289,1.9323503423901,0,0,1.095854102,0.583188473,47.06316851,0.446997407,4.626155721,1.255168505,2.671123573,0,0,46.9
